arg1,arg2,verb,sentence,verb_idx,label,lemma,pos,tag,dep,entity,entity_tag,chunk,knowledge,sentiment,sentiment_score
indifference,,steam, her indifference to his amorous advances really steamed the young man .,7,1,  -PRON- indifference to -PRON- amorous advance really steam the young man .,SPACE DET NOUN ADP DET ADJ NOUN ADV VERB DET ADJ NOUN PUNCT,_SP PRP$ NN IN PRP$ JJ NNS RB VBD DT JJ NN ., poss nsubj prep poss amod pobj advmod ROOT det amod dobj punct,,"[(' ', '_SP', 'O'), ('her', 'PRP$', 'O'), ('indifference', 'NN', 'O'), ('to', 'IN', 'O'), ('his', 'PRP$', 'O'), ('amorous', 'JJ', 'O'), ('advances', 'NNS', 'O'), ('really', 'RB', 'O'), ('steamed', 'VBD', 'O'), ('the', 'DT', 'O'), ('young', 'JJ', 'O'), ('man', 'NN', 'O'), ('.', '.', 'O')]","[(' her indifference', 'NP', 'indifference'), ('his amorous advances', 'NP', 'advances'), ('the young man', 'NP', 'man')]",none,neutral,"{'neg': 0.092, 'neu': 0.692, 'pos': 0.215, 'compound': 0.3818}"
home,,devour, Fire had devoured our home .,2,1,  Fire have devour -PRON- home .,SPACE PROPN AUX VERB DET NOUN PUNCT,_SP NNP VBD VBN PRP$ NN ., nsubj aux ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('Fire', 'NNP', 'O'), ('had', 'VBD', 'O'), ('devoured', 'VBN', 'O'), ('our', 'PRP$', 'O'), ('home', 'NN', 'O'), ('.', '.', 'O')]","[(' Fire', 'NP', 'Fire'), ('our home', 'NP', 'home')]",none,neutral,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}"
living,,tug, She tugged for years to make a decent living .,1,1,  -PRON- tug for year to make a decent living .,SPACE PRON VERB ADP NOUN PART VERB DET ADJ NOUN PUNCT,_SP PRP VBD IN NNS TO VB DT JJ NN ., nsubj ROOT prep pobj aux advcl det amod dobj punct,years,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('tugged', 'VBD', 'O'), ('for', 'IN', 'O'), ('years', 'NNS', 'B-DATE'), ('to', 'TO', 'O'), ('make', 'VB', 'O'), ('a', 'DT', 'O'), ('decent', 'JJ', 'O'), ('living', 'NN', 'O'), ('.', '.', 'O')]","[(' She', 'NP', 'She'), ('years', 'NP', 'years'), ('a decent living', 'NP', 'living')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
debate,,fuel, fuel the debate on creationism .,0,1,  fuel the debate on creationism .,SPACE VERB DET NOUN ADP NOUN PUNCT,_SP VB DT NN IN NN ., ROOT det dobj prep pobj punct,,"[(' ', '_SP', 'O'), ('fuel', 'VB', 'O'), ('the', 'DT', 'O'), ('debate', 'NN', 'O'), ('on', 'IN', 'O'), ('creationism', 'NN', 'O'), ('.', '.', 'O')]","[('the debate', 'NP', 'debate'), ('creationism', 'NP', 'creationism')]",none,neutral,"{'neg': 0.0, 'neu': 0.702, 'pos': 0.298, 'compound': 0.1779}"
horse,,clog, horses were clogged until they were tamed .,2,1,  horse be clog until -PRON- be tame .,SPACE NOUN AUX VERB ADP PRON AUX VERB PUNCT,_SP NNS VBD VBN IN PRP VBD VBN ., nsubjpass auxpass ROOT mark nsubjpass auxpass advcl punct,,"[(' ', '_SP', 'O'), ('horses', 'NNS', 'O'), ('were', 'VBD', 'O'), ('clogged', 'VBN', 'O'), ('until', 'IN', 'O'), ('they', 'PRP', 'O'), ('were', 'VBD', 'O'), ('tamed', 'VBN', 'O'), ('.', '.', 'O')]","[(' horses', 'NP', 'horses'), ('they', 'NP', 'they')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
snake,,swim, this snake swims through the soil where it lives .,2,0,  this snake swim through the soil where -PRON- live .,SPACE DET NOUN VERB ADP DET NOUN ADV PRON VERB PUNCT,_SP DT NN VBZ IN DT NN WRB PRP VBZ ., det nsubj ROOT prep det pobj advmod nsubj relcl punct,,"[(' ', '_SP', 'O'), ('this', 'DT', 'O'), ('snake', 'NN', 'O'), ('swims', 'VBZ', 'O'), ('through', 'IN', 'O'), ('the', 'DT', 'O'), ('soil', 'NN', 'O'), ('where', 'WRB', 'O'), ('it', 'PRP', 'O'), ('lives', 'VBZ', 'O'), ('.', '.', 'O')]","[(' this snake', 'NP', 'snake'), ('the soil', 'NP', 'soil'), ('it', 'NP', 'it')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
suffering,,repair, One can never fully repair the suffering and losses of the Jews in the Third Reich .,4,1,  one can never fully repair the suffering and loss of the Jews in the Third Reich .,SPACE PRON VERB ADV ADV VERB DET NOUN CCONJ NOUN ADP DET PROPN ADP DET PROPN PROPN PUNCT,_SP PRP MD RB RB VB DT NN CC NNS IN DT NNPS IN DT NNP NNP ., nsubj aux neg advmod ROOT det dobj cc conj prep det pobj prep det compound pobj punct,Jews the Third Reich,"[(' ', '_SP', 'O'), ('One', 'PRP', 'O'), ('can', 'MD', 'O'), ('never', 'RB', 'O'), ('fully', 'RB', 'O'), ('repair', 'VB', 'O'), ('the', 'DT', 'O'), ('suffering', 'NN', 'O'), ('and', 'CC', 'O'), ('losses', 'NNS', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('Jews', 'NNPS', 'B-NORP'), ('in', 'IN', 'O'), ('the', 'DT', 'B-ORG'), ('Third', 'NNP', 'I-ORG'), ('Reich', 'NNP', 'I-ORG'), ('.', '.', 'O')]","[(' One', 'NP', 'One'), ('the suffering', 'NP', 'suffering'), ('losses', 'NP', 'losses'), ('the Jews', 'NP', 'Jews'), ('the Third Reich', 'NP', 'Reich')]",none,neutral,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.7239}"
story,,grab, This story will grab you .,3,1,  this story will grab -PRON- .,SPACE DET NOUN VERB VERB PRON PUNCT,_SP DT NN MD VB PRP ., det nsubj aux ROOT dobj punct,,"[(' ', '_SP', 'O'), ('This', 'DT', 'O'), ('story', 'NN', 'O'), ('will', 'MD', 'O'), ('grab', 'VB', 'O'), ('you', 'PRP', 'O'), ('.', '.', 'O')]","[(' This story', 'NP', 'story'), ('you', 'NP', 'you')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
firefly,,glow, The fireflies were glowing and flying about in the garden .,3,0,  the firefly be glow and fly about in the garden .,SPACE DET NOUN AUX VERB CCONJ VERB ADV ADP DET NOUN PUNCT,_SP DT NNS VBD VBG CC VBG RB IN DT NN ., det nsubj aux ROOT cc conj prep prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('fireflies', 'NNS', 'O'), ('were', 'VBD', 'O'), ('glowing', 'VBG', 'O'), ('and', 'CC', 'O'), ('flying', 'VBG', 'O'), ('about', 'RB', 'O'), ('in', 'IN', 'O'), ('the', 'DT', 'O'), ('garden', 'NN', 'O'), ('.', '.', 'O')]","[(' The fireflies', 'NP', 'fireflies'), ('the garden', 'NP', 'garden')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
car,,ruin, You have ruined my car by pouring sugar in the tank !,2,0,  -PRON- have ruin -PRON- car by pour sugar in the tank !,SPACE PRON AUX VERB DET NOUN ADP VERB NOUN ADP DET NOUN PUNCT,_SP PRP VBP VBN PRP$ NN IN VBG NN IN DT NN ., nsubj aux ROOT poss dobj prep pcomp dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('You', 'PRP', 'O'), ('have', 'VBP', 'O'), ('ruined', 'VBN', 'O'), ('my', 'PRP$', 'O'), ('car', 'NN', 'O'), ('by', 'IN', 'O'), ('pouring', 'VBG', 'O'), ('sugar', 'NN', 'O'), ('in', 'IN', 'O'), ('the', 'DT', 'O'), ('tank', 'NN', 'O'), ('!', '.', 'O')]","[(' You', 'NP', 'You'), ('my car', 'NP', 'car'), ('sugar', 'NP', 'sugar'), ('the tank', 'NP', 'tank')]",none,neutral,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.5255}"
smoke,,cloud, The smoke clouded above the houses .,2,0,  the smoke cloud above the house .,SPACE DET NOUN VERB ADP DET NOUN PUNCT,_SP DT NN VBN IN DT NNS ., det nsubj ROOT prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('smoke', 'NN', 'O'), ('clouded', 'VBN', 'O'), ('above', 'IN', 'O'), ('the', 'DT', 'O'), ('houses', 'NNS', 'O'), ('.', '.', 'O')]","[(' The smoke', 'NP', 'smoke'), ('the houses', 'NP', 'houses')]",none,neutral,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.0516}"
debate,,sharpen, The debate sharpened .,2,1,  the debate sharpen .,SPACE DET NOUN VERB PUNCT,_SP DT NN VBN ., det nsubj ROOT punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('debate', 'NN', 'O'), ('sharpened', 'VBN', 'O'), ('.', '.', 'O')]","[(' The debate', 'NP', 'debate')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
toy,,crush, The car crushed the toy .,2,0,  the car crush the toy .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP DT NN VBD DT NN ., det nsubj ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('car', 'NN', 'O'), ('crushed', 'VBD', 'O'), ('the', 'DT', 'O'), ('toy', 'NN', 'O'), ('.', '.', 'O')]","[(' The car', 'NP', 'car'), ('the toy', 'NP', 'toy')]",none,neutral,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}"
star,,flash, A shooting star flashed and was gone .,3,0,  a shoot star flash and be go .,SPACE DET VERB NOUN VERB CCONJ AUX VERB PUNCT,_SP DT VBG NN VBD CC VBD VBN ., det compound nsubj ROOT cc auxpass conj punct,,"[(' ', '_SP', 'O'), ('A', 'DT', 'O'), ('shooting', 'VBG', 'O'), ('star', 'NN', 'O'), ('flashed', 'VBD', 'O'), ('and', 'CC', 'O'), ('was', 'VBD', 'O'), ('gone', 'VBN', 'O'), ('.', '.', 'O')]","[(' A shooting star', 'NP', 'star')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
tablecloth,,spot, The wine spotted the tablecloth .,2,0,  the wine spot the tablecloth .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP DT NN VBD DT NN ., det nsubj ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('wine', 'NN', 'O'), ('spotted', 'VBD', 'O'), ('the', 'DT', 'O'), ('tablecloth', 'NN', 'O'), ('.', '.', 'O')]","[(' The wine', 'NP', 'wine'), ('the tablecloth', 'NP', 'tablecloth')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
doubt,,nag, nagging concerns and doubts .,0,1,  nag concern and doubt .,SPACE VERB NOUN CCONJ NOUN PUNCT,_SP VBG NNS CC NNS ., amod ROOT cc conj punct,,"[(' ', '_SP', 'O'), ('nagging', 'VBG', 'O'), ('concerns', 'NNS', 'O'), ('and', 'CC', 'O'), ('doubts', 'NNS', 'O'), ('.', '.', 'O')]","[(' nagging concerns', 'NP', 'concerns'), ('doubts', 'NP', 'doubts')]",none,negative,"{'neg': 0.71, 'neu': 0.29, 'pos': 0.0, 'compound': -0.5994}"
prince,,crown, The prince was crowned in Westminster Abbey .,3,0,  the prince be crown in Westminster Abbey .,SPACE DET NOUN AUX VERB ADP PROPN PROPN PUNCT,_SP DT NN VBD VBN IN NNP NNP ., det nsubjpass auxpass ROOT prep compound pobj punct,Westminster Abbey,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('prince', 'NN', 'O'), ('was', 'VBD', 'O'), ('crowned', 'VBN', 'O'), ('in', 'IN', 'O'), ('Westminster', 'NNP', 'B-GPE'), ('Abbey', 'NNP', 'I-GPE'), ('.', '.', 'O')]","[(' The prince', 'NP', 'prince'), ('Westminster Abbey', 'NP', 'Abbey')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
check,,kite, He kited many checks .,1,1,  -PRON- kite many check .,SPACE PRON VERB ADJ NOUN PUNCT,_SP PRP VBD JJ NNS ., nsubj ROOT amod dobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('kited', 'VBD', 'O'), ('many', 'JJ', 'O'), ('checks', 'NNS', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('many checks', 'NP', 'checks')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
lungs,,invade, The cancer had invaded her lungs .,3,1,  the cancer have invade -PRON- lung .,SPACE DET NOUN AUX VERB DET NOUN PUNCT,_SP DT NN VBD VBN PRP$ NNS ., det nsubj aux ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('cancer', 'NN', 'O'), ('had', 'VBD', 'O'), ('invaded', 'VBN', 'O'), ('her', 'PRP$', 'O'), ('lungs', 'NNS', 'O'), ('.', '.', 'O')]","[(' The cancer', 'NP', 'cancer'), ('her lungs', 'NP', 'lungs')]",none,neutral,"{'neg': 0.468, 'neu': 0.532, 'pos': 0.0, 'compound': -0.6597}"
village,,attack, The Serbs attacked the village at night .,2,0,  the Serbs attack the village at night .,SPACE DET PROPN VERB DET NOUN ADP NOUN PUNCT,_SP DT NNPS VBD DT NN IN NN ., det nsubj ROOT det dobj prep pobj punct,Serbs night,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('Serbs', 'NNPS', 'B-NORP'), ('attacked', 'VBD', 'O'), ('the', 'DT', 'O'), ('village', 'NN', 'O'), ('at', 'IN', 'O'), ('night', 'NN', 'B-TIME'), ('.', '.', 'O')]","[(' The Serbs', 'NP', 'Serbs'), ('the village', 'NP', 'village'), ('night', 'NP', 'night')]",none,neutral,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.4588}"
wood,,square, square the wood with a file .,0,0,  square the wood with a file .,SPACE VERB DET NOUN ADP DET NOUN PUNCT,_SP VB DT NN IN DT NN ., ROOT det dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('square', 'VB', 'O'), ('the', 'DT', 'O'), ('wood', 'NN', 'O'), ('with', 'IN', 'O'), ('a', 'DT', 'O'), ('file', 'NN', 'O'), ('.', '.', 'O')]","[('the wood', 'NP', 'wood'), ('a file', 'NP', 'file')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
opponent,,paste, He pasted his opponent .,1,1,  -PRON- paste -PRON- opponent .,SPACE PRON VERB DET NOUN PUNCT,_SP PRP VBD PRP$ NN ., nsubj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('pasted', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('opponent', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('his opponent', 'NP', 'opponent')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
currency,,inflate, inflate the currency .,0,1,  inflate the currency .,SPACE VERB DET NOUN PUNCT,_SP VB DT NN ., ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('inflate', 'VB', 'O'), ('the', 'DT', 'O'), ('currency', 'NN', 'O'), ('.', '.', 'O')]","[('the currency', 'NP', 'currency')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
brain,,swim, my brain is swimming after the bottle of champagne .,3,1,  -PRON- brain be swim after the bottle of champagne .,SPACE DET NOUN AUX VERB ADP DET NOUN ADP NOUN PUNCT,_SP PRP$ NN VBZ VBG IN DT NN IN NN ., poss nsubj aux ROOT prep det pobj prep pobj punct,,"[(' ', '_SP', 'O'), ('my', 'PRP$', 'O'), ('brain', 'NN', 'O'), ('is', 'VBZ', 'O'), ('swimming', 'VBG', 'O'), ('after', 'IN', 'O'), ('the', 'DT', 'O'), ('bottle', 'NN', 'O'), ('of', 'IN', 'O'), ('champagne', 'NN', 'O'), ('.', '.', 'O')]","[(' my brain', 'NP', 'brain'), ('the bottle', 'NP', 'bottle'), ('champagne', 'NP', 'champagne')]",none,neutral,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}"
idea,,color, His political ideas color his lectures .,3,1,  -PRON- political idea color -PRON- lecture .,SPACE DET ADJ NOUN NOUN DET NOUN PUNCT,_SP PRP$ JJ NNS NN PRP$ NNS ., poss amod nsubj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('His', 'PRP$', 'O'), ('political', 'JJ', 'O'), ('ideas', 'NNS', 'O'), ('color', 'NN', 'O'), ('his', 'PRP$', 'O'), ('lectures', 'NNS', 'O'), ('.', '.', 'O')]","[(' His political ideas', 'NP', 'ideas'), ('his lectures', 'NP', 'lectures')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
fifty,,push, She is pushing fifty .,2,1,  -PRON- be push fifty .,SPACE PRON AUX VERB NUM PUNCT,_SP PRP VBZ VBG CD ., nsubj aux ROOT dobj punct,fifty,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('is', 'VBZ', 'O'), ('pushing', 'VBG', 'O'), ('fifty', 'CD', 'B-CARDINAL'), ('.', '.', 'O')]","[(' She', 'NP', 'She')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
question,,pose, This poses an interesting question .,1,1,  this pose an interesting question .,SPACE DET VERB DET ADJ NOUN PUNCT,_SP DT VBZ DT JJ NN ., nsubj ROOT det amod dobj punct,,"[(' ', '_SP', 'O'), ('This', 'DT', 'O'), ('poses', 'VBZ', 'O'), ('an', 'DT', 'O'), ('interesting', 'JJ', 'O'), ('question', 'NN', 'O'), ('.', '.', 'O')]","[('an interesting question', 'NP', 'question')]",none,neutral,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
happiness,,radiate, She radiates happiness .,1,1,  -PRON- radiate happiness .,SPACE PRON VERB NOUN PUNCT,_SP PRP VBZ NN ., nsubj ROOT dobj punct,,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('radiates', 'VBZ', 'O'), ('happiness', 'NN', 'O'), ('.', '.', 'O')]","[(' She', 'NP', 'She'), ('happiness', 'NP', 'happiness')]",none,postive,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.5574}"
rage,,visit, The principal visited his rage on the students .,2,1,  the principal visit -PRON- rage on the student .,SPACE DET NOUN VERB DET NOUN ADP DET NOUN PUNCT,_SP DT NN VBD PRP$ NN IN DT NNS ., det nsubj ROOT poss dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('principal', 'NN', 'O'), ('visited', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('rage', 'NN', 'O'), ('on', 'IN', 'O'), ('the', 'DT', 'O'), ('students', 'NNS', 'O'), ('.', '.', 'O')]","[(' The principal', 'NP', 'principal'), ('his rage', 'NP', 'rage'), ('the students', 'NP', 'students')]",none,neutral,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}"
woman,,lean, She leaned over the banister .,1,0,  -PRON- lean over the banister .,SPACE PRON VERB ADP DET NOUN PUNCT,_SP PRP VBD IN DT NN ., nsubj ROOT prep det pobj punct,,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('leaned', 'VBD', 'O'), ('over', 'IN', 'O'), ('the', 'DT', 'O'), ('banister', 'NN', 'O'), ('.', '.', 'O')]","[(' She', 'NP', 'She'), ('the banister', 'NP', 'banister')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
vessel,,shipwreck, The vessel was shipwrecked .,3,0,  the vessel be shipwreck .,SPACE DET NOUN AUX VERB PUNCT,_SP DT NN VBD VBN ., det nsubjpass auxpass ROOT punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('vessel', 'NN', 'O'), ('was', 'VBD', 'O'), ('shipwrecked', 'VBN', 'O'), ('.', '.', 'O')]","[(' The vessel', 'NP', 'vessel')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
alcohol,,abuse, Her husband often abuses alcohol .,3,1,  -PRON- husband often abuse alcohol .,SPACE DET NOUN ADV VERB NOUN PUNCT,_SP PRP$ NN RB VBZ NN ., poss nsubj advmod ROOT dobj punct,,"[(' ', '_SP', 'O'), ('Her', 'PRP$', 'O'), ('husband', 'NN', 'O'), ('often', 'RB', 'O'), ('abuses', 'VBZ', 'O'), ('alcohol', 'NN', 'O'), ('.', '.', 'O')]","[(' Her husband', 'NP', 'husband'), ('alcohol', 'NP', 'alcohol')]",none,neutral,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.5574}"
wave,,swallow, The huge waves swallowed the small boat and it sank shortly thereafter .,3,1,  the huge wave swallow the small boat and -PRON- sink shortly thereafter .,SPACE DET ADJ NOUN VERB DET ADJ NOUN CCONJ PRON VERB ADV ADV PUNCT,_SP DT JJ NNS VBD DT JJ NN CC PRP VBD RB RB ., det amod nsubj ROOT det amod dobj cc nsubj conj advmod advmod punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('huge', 'JJ', 'O'), ('waves', 'NNS', 'O'), ('swallowed', 'VBD', 'O'), ('the', 'DT', 'O'), ('small', 'JJ', 'O'), ('boat', 'NN', 'O'), ('and', 'CC', 'O'), ('it', 'PRP', 'O'), ('sank', 'VBD', 'O'), ('shortly', 'RB', 'O'), ('thereafter', 'RB', 'O'), ('.', '.', 'O')]","[(' The huge waves', 'NP', 'waves'), ('the small boat', 'NP', 'boat'), ('it', 'NP', 'it')]",none,neutral,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.3182}"
salesman,,push, The salesman is aggressively pushing the new computer model .,4,1,  the salesman be aggressively push the new computer model .,SPACE DET NOUN AUX ADV VERB DET ADJ NOUN NOUN PUNCT,_SP DT NN VBZ RB VBG DT JJ NN NN ., det nsubj aux advmod ROOT det amod compound dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('salesman', 'NN', 'O'), ('is', 'VBZ', 'O'), ('aggressively', 'RB', 'O'), ('pushing', 'VBG', 'O'), ('the', 'DT', 'O'), ('new', 'JJ', 'O'), ('computer', 'NN', 'O'), ('model', 'NN', 'O'), ('.', '.', 'O')]","[(' The salesman', 'NP', 'salesman'), ('the new computer model', 'NP', 'model')]",none,neutral,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}"
vision,,blur, The fog blurs my vision .,2,0,  the fog blur -PRON- vision .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP DT NN VBZ PRP$ NN ., det nsubj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('fog', 'NN', 'O'), ('blurs', 'VBZ', 'O'), ('my', 'PRP$', 'O'), ('vision', 'NN', 'O'), ('.', '.', 'O')]","[(' The fog', 'NP', 'fog'), ('my vision', 'NP', 'vision')]",none,neutral,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.25}"
word,,swallow, She swallowed the last words of her speech .,1,1,  -PRON- swallow the last word of -PRON- speech .,SPACE PRON VERB DET ADJ NOUN ADP DET NOUN PUNCT,_SP PRP VBD DT JJ NNS IN PRP$ NN ., nsubj ROOT det amod dobj prep poss pobj punct,,"[(' ', '_SP', 'O'), ('She', 'PRP', 'O'), ('swallowed', 'VBD', 'O'), ('the', 'DT', 'O'), ('last', 'JJ', 'O'), ('words', 'NNS', 'O'), ('of', 'IN', 'O'), ('her', 'PRP$', 'O'), ('speech', 'NN', 'O'), ('.', '.', 'O')]","[(' She', 'NP', 'She'), ('the last words', 'NP', 'words'), ('her speech', 'NP', 'speech')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
personality,,compose, Greed and ambition composed his personality .,3,1,  Greed and ambition compose -PRON- personality .,SPACE PROPN CCONJ NOUN VERB DET NOUN PUNCT,_SP NNP CC NN VBD PRP$ NN ., nsubj cc conj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('Greed', 'NNP', 'O'), ('and', 'CC', 'O'), ('ambition', 'NN', 'O'), ('composed', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('personality', 'NN', 'O'), ('.', '.', 'O')]","[(' Greed', 'NP', 'Greed'), ('ambition', 'NP', 'ambition'), ('his personality', 'NP', 'personality')]",none,neutral,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}"
deed,,acknowledge, acknowledge the deed .,0,0,  acknowledge the deed .,SPACE VERB DET NOUN PUNCT,_SP VB DT NN ., ROOT det dobj punct,,"[(' ', '_SP', 'O'), ('acknowledge', 'VB', 'O'), ('the', 'DT', 'O'), ('deed', 'NN', 'O'), ('.', '.', 'O')]","[('the deed', 'NP', 'deed')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
feeling,,wrestle, He wrestled all his life with his feeling of inferiority .,1,1,  -PRON- wrestle all -PRON- life with -PRON- feeling of inferiority .,SPACE PRON VERB DET DET NOUN ADP DET NOUN ADP NOUN PUNCT,_SP PRP VBD PDT PRP$ NN IN PRP$ NN IN NN ., nsubj ROOT predet poss dobj prep poss pobj prep pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('wrestled', 'VBD', 'O'), ('all', 'PDT', 'O'), ('his', 'PRP$', 'O'), ('life', 'NN', 'O'), ('with', 'IN', 'O'), ('his', 'PRP$', 'O'), ('feeling', 'NN', 'O'), ('of', 'IN', 'O'), ('inferiority', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('all his life', 'NP', 'life'), ('his feeling', 'NP', 'feeling'), ('inferiority', 'NP', 'inferiority')]",none,neutral,"{'neg': 0.181, 'neu': 0.69, 'pos': 0.129, 'compound': -0.1531}"
water,,leak, Water leaked out of the can into the backpack .,1,0,  Water leak out of the can into the backpack .,SPACE PROPN VERB SCONJ ADP DET NOUN ADP DET NOUN PUNCT,_SP NNP VBD IN IN DT NN IN DT NN ., nsubj ROOT prep prep det pobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('Water', 'NNP', 'O'), ('leaked', 'VBD', 'O'), ('out', 'IN', 'O'), ('of', 'IN', 'O'), ('the', 'DT', 'O'), ('can', 'NN', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('backpack', 'NN', 'O'), ('.', '.', 'O')]","[(' Water', 'NP', 'Water'), ('the can', 'NP', 'can'), ('the backpack', 'NP', 'backpack')]",none,neutral,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}"
